cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,source_url,source_title,accessed_at_utc,scheduled_start_local,timezone_name,scheduled_start_utc,start_time_status,verifier_id,verification_note,exclusion_reason
749781,2015-01-11,Sri Lanka in New Zealand ODI Series,bilateral_series,Hagley Oval,Christchurch,Sri Lanka,New Zealand,"""Sri Lanka"" ""New Zealand"" ""2015-01-11"" scheduled start time",,,,,,,pending,,,
810829,2015-01-12,Dubai Triangular Series,multi_team_series,Dubai International Cricket Stadium,Unknown,Scotland,Ireland,"""Scotland"" ""Ireland"" ""2015-01-12"" scheduled start time",,,,,,,pending,,,
749783,2015-01-15,Sri Lanka in New Zealand ODI Series,bilateral_series,Seddon Park,Hamilton,New Zealand,Sri Lanka,"""New Zealand"" ""Sri Lanka"" ""2015-01-15"" scheduled start time",,,,,,,pending,,,
754751,2015-01-16,Carlton Mid One-Day International Tri-Series,multi_team_series,Sydney Cricket Ground,Unknown,England,Australia,"""England"" ""Australia"" ""2015-01-16"" scheduled start time",,,,,,,pending,,,
722341,2015-01-18,West Indies in South Africa ODI Series,bilateral_series,New Wanderers Stadium,Johannesburg,South Africa,West Indies,"""South Africa"" ""West Indies"" ""2015-01-18"" scheduled start time",,,,,,,pending,,,
754749,2015-01-18,Carlton Mid One-Day International Tri-Series,multi_team_series,Melbourne Cricket Ground,Unknown,India,Australia,"""India"" ""Australia"" ""2015-01-18"" scheduled start time",,,,,,,pending,,,
749787,2015-01-20,Sri Lanka in New Zealand ODI Series,bilateral_series,Saxton Oval,Nelson,Sri Lanka,New Zealand,"""Sri Lanka"" ""New Zealand"" ""2015-01-20"" scheduled start time",,,,,,,pending,,,
754753,2015-01-20,Carlton Mid One-Day International Tri-Series,multi_team_series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,England,"""India"" ""England"" ""2015-01-20"" scheduled start time",,,,,,,pending,,,
722343,2015-01-21,West Indies in South Africa ODI Series,bilateral_series,Buffalo Park,East London,West Indies,South Africa,"""West Indies"" ""South Africa"" ""2015-01-21"" scheduled start time",,,,,,,pending,,,
749789,2015-01-23,Sri Lanka in New Zealand ODI Series,bilateral_series,University Oval,Dunedin,New Zealand,Sri Lanka,"""New Zealand"" ""Sri Lanka"" ""2015-01-23"" scheduled start time",,,,,,,pending,,,
754755,2015-01-23,Carlton Mid One-Day International Tri-Series,multi_team_series,Bellerive Oval,Hobart,England,Australia,"""England"" ""Australia"" ""2015-01-23"" scheduled start time",,,,,,,pending,,,
722345,2015-01-25,West Indies in South Africa ODI Series,bilateral_series,St George's Park,Port Elizabeth,South Africa,West Indies,"""South Africa"" ""West Indies"" ""2015-01-25"" scheduled start time",,,,,,,pending,,,
749791,2015-01-25,Sri Lanka in New Zealand ODI Series,bilateral_series,University Oval,Dunedin,New Zealand,Sri Lanka,"""New Zealand"" ""Sri Lanka"" ""2015-01-25"" scheduled start time",,,,,,,pending,,,
722347,2015-01-28,West Indies in South Africa ODI Series,bilateral_series,SuperSport Park,Centurion,South Africa,West Indies,"""South Africa"" ""West Indies"" ""2015-01-28"" scheduled start time",,,,,,,pending,,,
749793,2015-01-29,Sri Lanka in New Zealand ODI Series,bilateral_series,Westpac Stadium,Wellington,Sri Lanka,New Zealand,"""Sri Lanka"" ""New Zealand"" ""2015-01-29"" scheduled start time",,,,,,,pending,,,
754759,2015-01-30,Carlton Mid One-Day International Tri-Series,multi_team_series,Western Australia Cricket Association Ground,Perth,India,England,"""India"" ""England"" ""2015-01-30"" scheduled start time",,,,,,,pending,,,
749795,2015-01-31,Pakistan in New Zealand ODI Series,bilateral_series,Westpac Stadium,Wellington,Pakistan,New Zealand,"""Pakistan"" ""New Zealand"" ""2015-01-31"" scheduled start time",,,,,,,pending,,,
754761,2015-02-01,Carlton Mid One-Day International Tri-Series,multi_team_series,Western Australia Cricket Association Ground,Perth,Australia,England,"""Australia"" ""England"" ""2015-02-01"" scheduled start time",,,,,,,pending,,,
749797,2015-02-03,Pakistan in New Zealand ODI Series,bilateral_series,McLean Park,Napier,New Zealand,Pakistan,"""New Zealand"" ""Pakistan"" ""2015-02-03"" scheduled start time",,,,,,,pending,,,
656399,2015-02-14,ICC Cricket World Cup,world_cup,Hagley Oval,Christchurch,New Zealand,Sri Lanka,"""New Zealand"" ""Sri Lanka"" ""2015-02-14"" scheduled start time",,,,,,,pending,,,
656401,2015-02-14,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,Australia,England,"""Australia"" ""England"" ""2015-02-14"" scheduled start time",,,,,,,pending,,,
656403,2015-02-15,ICC Cricket World Cup,world_cup,Seddon Park,Hamilton,South Africa,Zimbabwe,"""South Africa"" ""Zimbabwe"" ""2015-02-15"" scheduled start time",,,,,,,pending,,,
656405,2015-02-15,ICC Cricket World Cup,world_cup,Adelaide Oval,Unknown,India,Pakistan,"""India"" ""Pakistan"" ""2015-02-15"" scheduled start time",,,,,,,pending,,,
656407,2015-02-16,ICC Cricket World Cup,world_cup,Saxton Oval,Nelson,West Indies,Ireland,"""West Indies"" ""Ireland"" ""2015-02-16"" scheduled start time",,,,,,,pending,,,
656409,2015-02-17,ICC Cricket World Cup,world_cup,University Oval,Dunedin,Scotland,New Zealand,"""Scotland"" ""New Zealand"" ""2015-02-17"" scheduled start time",,,,,,,pending,,,
656413,2015-02-19,ICC Cricket World Cup,world_cup,Saxton Oval,Nelson,United Arab Emirates,Zimbabwe,"""United Arab Emirates"" ""Zimbabwe"" ""2015-02-19"" scheduled start time",,,,,,,pending,,,
656415,2015-02-20,ICC Cricket World Cup,world_cup,Westpac Stadium,Wellington,England,New Zealand,"""England"" ""New Zealand"" ""2015-02-20"" scheduled start time",,,,,,,pending,,,
656417,2015-02-21,ICC Cricket World Cup,world_cup,Hagley Oval,Christchurch,West Indies,Pakistan,"""West Indies"" ""Pakistan"" ""2015-02-21"" scheduled start time",,,,,,,pending,,,
656423,2015-02-22,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,India,South Africa,"""India"" ""South Africa"" ""2015-02-22"" scheduled start time",,,,,,,pending,,,
656425,2015-02-23,ICC Cricket World Cup,world_cup,Hagley Oval,Christchurch,England,Scotland,"""England"" ""Scotland"" ""2015-02-23"" scheduled start time",,,,,,,pending,,,
656429,2015-02-25,ICC Cricket World Cup,world_cup,"Brisbane Cricket Ground, Woolloongabba",Brisbane,United Arab Emirates,Ireland,"""United Arab Emirates"" ""Ireland"" ""2015-02-25"" scheduled start time",,,,,,,pending,,,
656433,2015-02-26,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,Sri Lanka,Bangladesh,"""Sri Lanka"" ""Bangladesh"" ""2015-02-26"" scheduled start time",,,,,,,pending,,,
656435,2015-02-27,ICC Cricket World Cup,world_cup,Sydney Cricket Ground,Unknown,South Africa,West Indies,"""South Africa"" ""West Indies"" ""2015-02-27"" scheduled start time",,,,,,,pending,,,
656437,2015-02-28,ICC Cricket World Cup,world_cup,Eden Park,Auckland,Australia,New Zealand,"""Australia"" ""New Zealand"" ""2015-02-28"" scheduled start time",,,,,,,pending,,,
656439,2015-02-28,ICC Cricket World Cup,world_cup,Western Australia Cricket Association Ground,Perth,United Arab Emirates,India,"""United Arab Emirates"" ""India"" ""2015-02-28"" scheduled start time",,,,,,,pending,,,
656441,2015-03-01,ICC Cricket World Cup,world_cup,Westpac Stadium,Wellington,England,Sri Lanka,"""England"" ""Sri Lanka"" ""2015-03-01"" scheduled start time",,,,,,,pending,,,
656443,2015-03-01,ICC Cricket World Cup,world_cup,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Pakistan,Zimbabwe,"""Pakistan"" ""Zimbabwe"" ""2015-03-01"" scheduled start time",,,,,,,pending,,,
656445,2015-03-03,ICC Cricket World Cup,world_cup,Manuka Oval,Canberra,South Africa,Ireland,"""South Africa"" ""Ireland"" ""2015-03-03"" scheduled start time",,,,,,,pending,,,
656447,2015-03-04,ICC Cricket World Cup,world_cup,McLean Park,Napier,Pakistan,United Arab Emirates,"""Pakistan"" ""United Arab Emirates"" ""2015-03-04"" scheduled start time",,,,,,,pending,,,
656451,2015-03-05,ICC Cricket World Cup,world_cup,Saxton Oval,Nelson,Scotland,Bangladesh,"""Scotland"" ""Bangladesh"" ""2015-03-05"" scheduled start time",,,,,,,pending,,,
656453,2015-03-06,ICC Cricket World Cup,world_cup,Western Australia Cricket Association Ground,Perth,West Indies,India,"""West Indies"" ""India"" ""2015-03-06"" scheduled start time",,,,,,,pending,,,
656457,2015-03-07,ICC Cricket World Cup,world_cup,Bellerive Oval,Hobart,Ireland,Zimbabwe,"""Ireland"" ""Zimbabwe"" ""2015-03-07"" scheduled start time",,,,,,,pending,,,
656461,2015-03-08,ICC Cricket World Cup,world_cup,Sydney Cricket Ground,Unknown,Australia,Sri Lanka,"""Australia"" ""Sri Lanka"" ""2015-03-08"" scheduled start time",,,,,,,pending,,,
656463,2015-03-09,ICC Cricket World Cup,world_cup,Adelaide Oval,Unknown,Bangladesh,England,"""Bangladesh"" ""England"" ""2015-03-09"" scheduled start time",,,,,,,pending,,,
656465,2015-03-10,ICC Cricket World Cup,world_cup,Seddon Park,Hamilton,Ireland,India,"""Ireland"" ""India"" ""2015-03-10"" scheduled start time",,,,,,,pending,,,
656467,2015-03-11,ICC Cricket World Cup,world_cup,Bellerive Oval,Hobart,Sri Lanka,Scotland,"""Sri Lanka"" ""Scotland"" ""2015-03-11"" scheduled start time",,,,,,,pending,,,
656469,2015-03-12,ICC Cricket World Cup,world_cup,Westpac Stadium,Wellington,South Africa,United Arab Emirates,"""South Africa"" ""United Arab Emirates"" ""2015-03-12"" scheduled start time",,,,,,,pending,,,
656471,2015-03-13,ICC Cricket World Cup,world_cup,Seddon Park,Hamilton,Bangladesh,New Zealand,"""Bangladesh"" ""New Zealand"" ""2015-03-13"" scheduled start time",,,,,,,pending,,,
656475,2015-03-14,ICC Cricket World Cup,world_cup,Eden Park,Auckland,Zimbabwe,India,"""Zimbabwe"" ""India"" ""2015-03-14"" scheduled start time",,,,,,,pending,,,
656477,2015-03-14,ICC Cricket World Cup,world_cup,Bellerive Oval,Hobart,Scotland,Australia,"""Scotland"" ""Australia"" ""2015-03-14"" scheduled start time",,,,,,,pending,,,
656479,2015-03-15,ICC Cricket World Cup,world_cup,McLean Park,Napier,United Arab Emirates,West Indies,"""United Arab Emirates"" ""West Indies"" ""2015-03-15"" scheduled start time",,,,,,,pending,,,
656481,2015-03-15,ICC Cricket World Cup,world_cup,Adelaide Oval,Unknown,Ireland,Pakistan,"""Ireland"" ""Pakistan"" ""2015-03-15"" scheduled start time",,,,,,,pending,,,
656483,2015-03-18,ICC Cricket World Cup,world_cup,Sydney Cricket Ground,Unknown,Sri Lanka,South Africa,"""Sri Lanka"" ""South Africa"" ""2015-03-18"" scheduled start time",,,,,,,pending,,,
656485,2015-03-19,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,India,Bangladesh,"""India"" ""Bangladesh"" ""2015-03-19"" scheduled start time",,,,,,,pending,,,
656487,2015-03-20,ICC Cricket World Cup,world_cup,Adelaide Oval,Unknown,Pakistan,Australia,"""Pakistan"" ""Australia"" ""2015-03-20"" scheduled start time",,,,,,,pending,,,
656489,2015-03-21,ICC Cricket World Cup,world_cup,Westpac Stadium,Wellington,New Zealand,West Indies,"""New Zealand"" ""West Indies"" ""2015-03-21"" scheduled start time",,,,,,,pending,,,
656493,2015-03-26,ICC Cricket World Cup,world_cup,Sydney Cricket Ground,Unknown,Australia,India,"""Australia"" ""India"" ""2015-03-26"" scheduled start time",,,,,,,pending,,,
656495,2015-03-29,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,New Zealand,Australia,"""New Zealand"" ""Australia"" ""2015-03-29"" scheduled start time",,,,,,,pending,,,
858485,2015-04-17,Pakistan in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,Bangladesh,Pakistan,"""Bangladesh"" ""Pakistan"" ""2015-04-17"" scheduled start time",,,,,,,pending,,,
858487,2015-04-19,Pakistan in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,Pakistan,Bangladesh,"""Pakistan"" ""Bangladesh"" ""2015-04-19"" scheduled start time",,,,,,,pending,,,
858489,2015-04-22,Pakistan in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,Pakistan,Bangladesh,"""Pakistan"" ""Bangladesh"" ""2015-04-22"" scheduled start time",,,,,,,pending,,,
868727,2015-05-26,Zimbabwe in Pakistan ODI Series,bilateral_series,Gaddafi Stadium,Lahore,Pakistan,Zimbabwe,"""Pakistan"" ""Zimbabwe"" ""2015-05-26"" scheduled start time",,,,,,,pending,,,
868729,2015-05-29,Zimbabwe in Pakistan ODI Series,bilateral_series,Gaddafi Stadium,Lahore,Zimbabwe,Pakistan,"""Zimbabwe"" ""Pakistan"" ""2015-05-29"" scheduled start time",,,,,,,pending,,,
743943,2015-06-09,New Zealand in England ODI Series,bilateral_series,Edgbaston,Birmingham,England,New Zealand,"""England"" ""New Zealand"" ""2015-06-09"" scheduled start time",,,,,,,pending,,,
743947,2015-06-14,New Zealand in England ODI Series,bilateral_series,The Rose Bowl,Southampton,England,New Zealand,"""England"" ""New Zealand"" ""2015-06-14"" scheduled start time",,,,,,,pending,,,
743949,2015-06-17,New Zealand in England ODI Series,bilateral_series,Trent Bridge,Nottingham,New Zealand,England,"""New Zealand"" ""England"" ""2015-06-17"" scheduled start time",,,,,,,pending,,,
870731,2015-06-18,India in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,Bangladesh,India,"""Bangladesh"" ""India"" ""2015-06-18"" scheduled start time",,,,,,,pending,,,
870735,2015-06-24,India in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,India,Bangladesh,"""India"" ""Bangladesh"" ""2015-06-24"" scheduled start time",,,,,,,pending,,,
817207,2015-07-10,South Africa in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,Bangladesh,South Africa,"""Bangladesh"" ""South Africa"" ""2015-07-10"" scheduled start time",,,,,,,pending,,,
885959,2015-07-10,India in Zimbabwe ODI Series,bilateral_series,Harare Sports Club,Unknown,India,Zimbabwe,"""India"" ""Zimbabwe"" ""2015-07-10"" scheduled start time",,,,,,,pending,,,
860269,2015-07-11,Pakistan in Sri Lanka ODI Series,bilateral_series,Rangiri Dambulla International Stadium,Unknown,Sri Lanka,Pakistan,"""Sri Lanka"" ""Pakistan"" ""2015-07-11"" scheduled start time",,,,,,,pending,,,
817209,2015-07-12,South Africa in Bangladesh ODI Series,bilateral_series,Shere Bangla National Stadium,Mirpur,South Africa,Bangladesh,"""South Africa"" ""Bangladesh"" ""2015-07-12"" scheduled start time",,,,,,,pending,,,
885965,2015-07-12,India in Zimbabwe ODI Series,bilateral_series,Harare Sports Club,Unknown,India,Zimbabwe,"""India"" ""Zimbabwe"" ""2015-07-12"" scheduled start time",,,,,,,pending,,,
885967,2015-07-14,India in Zimbabwe ODI Series,bilateral_series,Harare Sports Club,Unknown,India,Zimbabwe,"""India"" ""Zimbabwe"" ""2015-07-14"" scheduled start time",,,,,,,pending,,,
860271,2015-07-15,Pakistan in Sri Lanka ODI Series,bilateral_series,Pallekele International Cricket Stadium,Unknown,Pakistan,Sri Lanka,"""Pakistan"" ""Sri Lanka"" ""2015-07-15"" scheduled start time",,,,,,,pending,,,
860273,2015-07-19,Pakistan in Sri Lanka ODI Series,bilateral_series,R Premadasa Stadium,Colombo,Pakistan,Sri Lanka,"""Pakistan"" ""Sri Lanka"" ""2015-07-19"" scheduled start time",,,,,,,pending,,,
860275,2015-07-22,Pakistan in Sri Lanka ODI Series,bilateral_series,R Premadasa Stadium,Colombo,Sri Lanka,Pakistan,"""Sri Lanka"" ""Pakistan"" ""2015-07-22"" scheduled start time",,,,,,,pending,,,
