cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,espn_match_id_candidate,espn_legacy_match_url_candidate,espn_match_id_verified,espn_match_url_verified,espn_linkage_status,source_search_query,source_url,source_title,published_at_utc,accessed_at_utc,pre_match_verified,coder_id,coder_confidence,pitch_primary_category,batting_ease,pace_seam_support,spin_support,bounce_profile,two_paced_expected,dew_expected,short_paraphrased_note,exclusion_reason,batch_sequence
1388412,2023-09-15,Asia Cup,continental_cup,"R Premadasa Stadium, Colombo",Colombo,Bangladesh,India,1388412,https://www.espncricinfo.com/ci/engine/match/1388412.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""India"" ""2023-09-15"" preview pitch conditions",,,,,,,,,,,,,,,,,1
656445,2015-03-03,ICC Cricket World Cup,world_cup,Manuka Oval,Canberra,South Africa,Ireland,656445,https://www.espncricinfo.com/ci/engine/match/656445.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""Ireland"" ""2015-03-03"" preview pitch conditions",,,,,,,,,,,,,,,,,2
1275249,2021-09-13,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United States of America,Nepal,1275249,https://www.espncricinfo.com/ci/engine/match/1275249.html,,,unverified_candidate,"site:espncricinfo.com ""United States of America"" ""Nepal"" ""2021-09-13"" preview pitch conditions",,,,,,,,,,,,,,,,,3
1302616,2022-03-05,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Oman,United Arab Emirates,1302616,https://www.espncricinfo.com/ci/engine/match/1302616.html,,,unverified_candidate,"site:espncricinfo.com ""Oman"" ""United Arab Emirates"" ""2022-03-05"" preview pitch conditions",,,,,,,,,,,,,,,,,4
1183537,2020-03-13,New Zealand tour of Australia,bilateral_series,Sydney Cricket Ground,Sydney,Australia,New Zealand,1183537,https://www.espncricinfo.com/ci/engine/match/1183537.html,,,unverified_candidate,"site:espncricinfo.com ""Australia"" ""New Zealand"" ""2020-03-13"" preview pitch conditions",,,,,,,,,,,,,,,,,5
1466424,2025-03-01,ICC Champions Trophy,champions_trophy,"National Stadium, Karachi",Karachi,England,South Africa,1466424,https://www.espncricinfo.com/ci/engine/match/1466424.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""South Africa"" ""2025-03-01"" preview pitch conditions",,,,,,,,,,,,,,,,,6
997993,2016-08-14,ICC World Cricket League Championship,qualification_pathway,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,United Arab Emirates,997993,https://www.espncricinfo.com/ci/engine/match/997993.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""United Arab Emirates"" ""2016-08-14"" preview pitch conditions",,,,,,,,,,,,,,,,,7
1199227,2019-09-19,ICC Men's Cricket World Cup League 2,qualification_pathway,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,Papua New Guinea,1199227,https://www.espncricinfo.com/ci/engine/match/1199227.html,,,unverified_candidate,"site:espncricinfo.com ""United States of America"" ""Papua New Guinea"" ""2019-09-19"" preview pitch conditions",,,,,,,,,,,,,,,,,8
1385700,2024-09-19,Australia tour of England,bilateral_series,"Trent Bridge, Nottingham",Nottingham,England,Australia,1385700,https://www.espncricinfo.com/ci/engine/match/1385700.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""Australia"" ""2024-09-19"" preview pitch conditions",,,,,,,,,,,,,,,,,9
1124089,2017-12-06,ICC World Cricket League Championship,qualification_pathway,ICC Academy,Dubai,Hong Kong,Papua New Guinea,1124089,https://www.espncricinfo.com/ci/engine/match/1124089.html,,,unverified_candidate,"site:espncricinfo.com ""Hong Kong"" ""Papua New Guinea"" ""2017-12-06"" preview pitch conditions",,,,,,,,,,,,,,,,,10
1528273,2026-04-20,New Zealand tour of Bangladesh,bilateral_series,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,1528273,https://www.espncricinfo.com/ci/engine/match/1528273.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Bangladesh"" ""2026-04-20"" preview pitch conditions",,,,,,,,,,,,,,,,,11
1130738,2018-01-17,Tri-Nation Tournament in Bangladesh,multi_team_series,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,Sri Lanka,1130738,https://www.espncricinfo.com/ci/engine/match/1130738.html,,,unverified_candidate,"site:espncricinfo.com ""Zimbabwe"" ""Sri Lanka"" ""2018-01-17"" preview pitch conditions",,,,,,,,,,,,,,,,,12
1276293,2021-09-06,Papua New Guinea v United States of America ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Papua New Guinea,United States of America,1276293,https://www.espncricinfo.com/ci/engine/match/1276293.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""United States of America"" ""2021-09-06"" preview pitch conditions",,,,,,,,,,,,,,,,,13
1535645,2026-05-30,Australia tour of Pakistan,bilateral_series,Rawalpindi Cricket Stadium,Rawalpindi,Australia,Pakistan,1535645,https://www.espncricinfo.com/ci/engine/match/1535645.html,,,unverified_candidate,"site:espncricinfo.com ""Australia"" ""Pakistan"" ""2026-05-30"" preview pitch conditions",,,,,,,,,,,,,,,,,14
911049,2015-11-16,ICC World Cricket League Championship,qualification_pathway,ICC Academy,Dubai,Hong Kong,United Arab Emirates,911049,https://www.espncricinfo.com/ci/engine/match/911049.html,,,unverified_candidate,"site:espncricinfo.com ""Hong Kong"" ""United Arab Emirates"" ""2015-11-16"" preview pitch conditions",,,,,,,,,,,,,,,,,15
1538428,2026-06-12,ICC Men's Cricket World Cup League 2,qualification_pathway,"Maple Leaf North-West Ground, King City",King City,Canada,United States of America,1538428,https://www.espncricinfo.com/ci/engine/match/1538428.html,,,unverified_candidate,"site:espncricinfo.com ""Canada"" ""United States of America"" ""2026-06-12"" preview pitch conditions",,,,,,,,,,,,,,,,,16
1075506,2017-10-22,Bangladesh tour of South Africa,bilateral_series,Buffalo Park,East London,South Africa,Bangladesh,1075506,https://www.espncricinfo.com/ci/engine/match/1075506.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""Bangladesh"" ""2017-10-22"" preview pitch conditions",,,,,,,,,,,,,,,,,17
1187683,2020-02-08,India tour of New Zealand,bilateral_series,Eden Park,Auckland,New Zealand,India,1187683,https://www.espncricinfo.com/ci/engine/match/1187683.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""India"" ""2020-02-08"" preview pitch conditions",,,,,,,,,,,,,,,,,18
1243395,2021-03-28,England tour of India,bilateral_series,Maharashtra Cricket Association Stadium,Pune,India,England,1243395,https://www.espncricinfo.com/ci/engine/match/1243395.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""England"" ""2021-03-28"" preview pitch conditions",,,,,,,,,,,,,,,,,19
1133022,2018-03-16,ICC Cricket World Cup Qualifier (ICC Trophy),qualification_pathway,Harare Sports Club,Unknown,Zimbabwe,Ireland,1133022,https://www.espncricinfo.com/ci/engine/match/1133022.html,,,unverified_candidate,"site:espncricinfo.com ""Zimbabwe"" ""Ireland"" ""2018-03-16"" preview pitch conditions",,,,,,,,,,,,,,,,,20
1211173,2020-01-09,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Namibia,United Arab Emirates,1211173,https://www.espncricinfo.com/ci/engine/match/1211173.html,,,unverified_candidate,"site:espncricinfo.com ""Namibia"" ""United Arab Emirates"" ""2020-01-09"" preview pitch conditions",,,,,,,,,,,,,,,,,21
1068737,2017-04-02,ICC World Cricket League Championship,qualification_pathway,Sheikh Zayed Stadium,Abu Dhabi,Papua New Guinea,United Arab Emirates,1068737,https://www.espncricinfo.com/ci/engine/match/1068737.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""United Arab Emirates"" ""2017-04-02"" preview pitch conditions",,,,,,,,,,,,,,,,,22
1078660,2017-01-24,United Arab Emirates Tri-Nation Series,multi_team_series,Dubai International Cricket Stadium,Unknown,Scotland,United Arab Emirates,1078660,https://www.espncricinfo.com/ci/engine/match/1078660.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""United Arab Emirates"" ""2017-01-24"" preview pitch conditions",,,,,,,,,,,,,,,,,23
754755,2015-01-23,Carlton Mid One-Day International Tri-Series,multi_team_series,Bellerive Oval,Hobart,England,Australia,754755,https://www.espncricinfo.com/ci/engine/match/754755.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""Australia"" ""2015-01-23"" preview pitch conditions",,,,,,,,,,,,,,,,,24
1059714,2016-11-23,Zimbabwe Tri-Nation Series,multi_team_series,Queens Sports Club,Bulawayo,Sri Lanka,West Indies,1059714,https://www.espncricinfo.com/ci/engine/match/1059714.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""West Indies"" ""2016-11-23"" preview pitch conditions",,,,,,,,,,,,,,,,,25
