cricsheet_match_id,source_url,source_title,legacy_sequence,coding_standard,reaudit_status,original_pitch_primary_category,original_batting_ease,original_pace_seam_support,original_spin_support,original_bounce_profile,original_two_paced_expected,original_dew_expected,reaudited_pitch_primary_category,reaudited_batting_ease,reaudited_pace_seam_support,reaudited_spin_support,reaudited_bounce_profile,reaudited_two_paced_expected,reaudited_dew_expected,reviewed_at_utc,reviewer_id,effect_evidence_note,review_note
656445,https://www.sportsjoe.ie/world-of-sport/ireland-south-africa-cricket-world-cup-preview-15358,Preview: Potent Proteas represent a big step up in Irish opposition,1,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly says Manuka Oval is likely to provide a good batting pitch and that a total below 300 would be below par.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1466424,https://crickettimes.com/2025/03/sa-vs-eng-champions-trophy-2025-national-stadium-pitch-report-karachi-weather-forecast-odi-stats-and-records-south-africa-vs-england/,"SA vs ENG, Champions Trophy 2025: National Stadium Pitch Report, Karachi Weather Forecast, ODI Stats and Records",2,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,,standard,,,batting_friendly,2,,,standard,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source calls the pitch batting-friendly/high-scoring with true, consistent bounce; it mentions only possible generic movement under lights.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1187683,https://www.hindustantimes.com/cricket/india-vs-new-zealand-2nd-odi-auckland-weather-and-pitch-report-chances-of-rain-in-the-afternoon-at-eden-park-ind-vs-nz-2nd-odi/story-q4YCarQ32Yiym03hfdVmAK.html,India vs New Zealand 2nd ODI: Auckland weather and pitch report - Chances of rain in the afternoon at Eden Park,3,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly says the pitch is likely to remain batting-friendly.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1133022,https://www.icc-cricket.com/tournaments/cricketworldcup/news/ireland-look-to-inflict-first-defeat-on-zimbabwe,Ireland look to inflict first defeat on Zimbabwe,4,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,,,,,,batting_friendly,2,,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly says the pitch is expected to side with the batters.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1384431,https://www.mykhel.com/cricket/mca-stadium-pune-pitch-report-weather-forecast-for-eng-vs-ned-icc-odi-world-cup-2023-match-40-244161.html,"MCA Stadium, Pune Pitch Report & Weather Forecast for ENG vs NED ICC ODI World Cup 2023 Match 40",5,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,1,1,,,0,batting_friendly,2,1,1,,,0,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source expects a batter-favouring surface, assistance for new-ball bowlers and middle-overs spinners, and no meaningful dew impact.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1442223,https://www.mykhel.com/cricket/nz-vs-pak-playing-11-odi-tri-series-final-new-zealand-vs-pakistan-probable-playing-xi-preview-weather-and-pitch-report-340972.html,"NZ vs PAK Playing 11, ODI Tri-Series Final: New Zealand vs Pakistan Probable XI, Preview, Weather & Pitch Report",6,legacy_pre_explicit_source_only,passed_revised,batting_friendly,2,1,1,standard,,,batting_friendly,2,,1,standard,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source says the surface has favoured batters, indicates a high-scoring contest, provides good bounce/carry, and says spinners might come into play later.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1442222,https://www.mykhel.com/cricket/pakistan-vs-south-africa-3rd-odi-pak-vs-sa-pitch-weather-forecast-karachi-national-stadium-report-340299.html,Pakistan vs South Africa 3rd ODI: PAK vs SA Pitch and Weather Forecast - Karachi National Stadium Report,7,legacy_pre_explicit_source_only,passed_unchanged,batting_friendly,2,1,1,standard,,,batting_friendly,2,1,1,standard,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source explicitly calls the pitch batting-friendly, says it offers good bounce benefiting fast bowlers early, and says spinners come into play later.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1431089,https://www.crictracker.com/cricket-previews/ireland-vs-south-africa-match-preview-2nd-odi-2409-4246/,"IRE vs SA Match Preview, 2nd ODI: Head to Head records, pitch report and more",8,legacy_pre_explicit_source_only,passed_revised,pace_seam,1,2,,steep,,,pace_seam,1,2,,,,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,"Source says pacers reign supreme early, with ample bounce and movement, before the pitch becomes conducive to batting later.",Re-opened eligible pre-match source and applied explicit-source-only rule.
1146720,https://cricketaddictor.com/cricket/windies-vs-bangladesh-2018-1st-odi-guyana-match-preview/,"Windies Vs Bangladesh, 2018: 1st ODI, Guyana – Match Preview",9,legacy_pre_explicit_source_only,passed_revised,spin,,,2,,,,slow_two_paced,,,2,,1,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly expects the track to play on the slower side and says spinners will definitely come into action.,Re-opened eligible pre-match source and applied explicit-source-only rule.
1466428,https://www.mykhel.com/cricket/india-vs-new-zealand-toss-playing-11-update-for-champions-trophy-2025-final-rohit-sharma-loses-tos-346037.html,"India vs New Zealand Toss, Playing 11 Update for Champions Trophy 2025 Final: Rohit Sharma loses toss again, NZ opt to bat first",10,legacy_pre_explicit_source_only,passed_revised,slow_two_paced,0,,2,,,,slow_two_paced,,,2,,1,,2026-09-13T08:36:04Z,ai_assisted_reaudit_01,Source explicitly describes the expected surface as slow and says spin will be a key factor.,Re-opened eligible pre-match source and applied explicit-source-only rule.
