cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,espn_match_id_candidate,espn_legacy_match_url_candidate,espn_match_id_verified,espn_match_url_verified,espn_linkage_status,source_search_query,source_url,source_title,published_at_utc,accessed_at_utc,pre_match_verified,coder_id,coder_confidence,pitch_primary_category,batting_ease,pace_seam_support,spin_support,bounce_profile,two_paced_expected,dew_expected,short_paraphrased_note,exclusion_reason
749781,2015-01-11,Sri Lanka in New Zealand ODI Series,bilateral_series,Hagley Oval,Christchurch,Sri Lanka,New Zealand,749781,https://www.espncricinfo.com/ci/engine/match/749781.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""New Zealand"" ""2015-01-11"" preview pitch conditions",,,,,,,,,,,,,,,,
810829,2015-01-12,Dubai Triangular Series,multi_team_series,Dubai International Cricket Stadium,Unknown,Scotland,Ireland,810829,https://www.espncricinfo.com/ci/engine/match/810829.html,,,unverified_candidate,"site:espncricinfo.com ""Scotland"" ""Ireland"" ""2015-01-12"" preview pitch conditions",,,,,,,,,,,,,,,,
749783,2015-01-15,Sri Lanka in New Zealand ODI Series,bilateral_series,Seddon Park,Hamilton,New Zealand,Sri Lanka,749783,https://www.espncricinfo.com/ci/engine/match/749783.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Sri Lanka"" ""2015-01-15"" preview pitch conditions",,,,,,,,,,,,,,,,
754751,2015-01-16,Carlton Mid One-Day International Tri-Series,multi_team_series,Sydney Cricket Ground,Unknown,England,Australia,754751,https://www.espncricinfo.com/ci/engine/match/754751.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""Australia"" ""2015-01-16"" preview pitch conditions",,,,,,,,,,,,,,,,
722341,2015-01-18,West Indies in South Africa ODI Series,bilateral_series,New Wanderers Stadium,Johannesburg,South Africa,West Indies,722341,https://www.espncricinfo.com/ci/engine/match/722341.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""West Indies"" ""2015-01-18"" preview pitch conditions",,,,,,,,,,,,,,,,
754749,2015-01-18,Carlton Mid One-Day International Tri-Series,multi_team_series,Melbourne Cricket Ground,Unknown,India,Australia,754749,https://www.espncricinfo.com/ci/engine/match/754749.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Australia"" ""2015-01-18"" preview pitch conditions",,,,,,,,,,,,,,,,
749787,2015-01-20,Sri Lanka in New Zealand ODI Series,bilateral_series,Saxton Oval,Nelson,Sri Lanka,New Zealand,749787,https://www.espncricinfo.com/ci/engine/match/749787.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""New Zealand"" ""2015-01-20"" preview pitch conditions",,,,,,,,,,,,,,,,
754753,2015-01-20,Carlton Mid One-Day International Tri-Series,multi_team_series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,England,754753,https://www.espncricinfo.com/ci/engine/match/754753.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""England"" ""2015-01-20"" preview pitch conditions",,,,,,,,,,,,,,,,
722343,2015-01-21,West Indies in South Africa ODI Series,bilateral_series,Buffalo Park,East London,West Indies,South Africa,722343,https://www.espncricinfo.com/ci/engine/match/722343.html,,,unverified_candidate,"site:espncricinfo.com ""West Indies"" ""South Africa"" ""2015-01-21"" preview pitch conditions",,,,,,,,,,,,,,,,
749789,2015-01-23,Sri Lanka in New Zealand ODI Series,bilateral_series,University Oval,Dunedin,New Zealand,Sri Lanka,749789,https://www.espncricinfo.com/ci/engine/match/749789.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Sri Lanka"" ""2015-01-23"" preview pitch conditions",,,,,,,,,,,,,,,,
754755,2015-01-23,Carlton Mid One-Day International Tri-Series,multi_team_series,Bellerive Oval,Hobart,England,Australia,754755,https://www.espncricinfo.com/ci/engine/match/754755.html,,,unverified_candidate,"site:espncricinfo.com ""England"" ""Australia"" ""2015-01-23"" preview pitch conditions",,,,,,,,,,,,,,,,
722345,2015-01-25,West Indies in South Africa ODI Series,bilateral_series,St George's Park,Port Elizabeth,South Africa,West Indies,722345,https://www.espncricinfo.com/ci/engine/match/722345.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""West Indies"" ""2015-01-25"" preview pitch conditions",,,,,,,,,,,,,,,,
749791,2015-01-25,Sri Lanka in New Zealand ODI Series,bilateral_series,University Oval,Dunedin,New Zealand,Sri Lanka,749791,https://www.espncricinfo.com/ci/engine/match/749791.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Sri Lanka"" ""2015-01-25"" preview pitch conditions",,,,,,,,,,,,,,,,
722347,2015-01-28,West Indies in South Africa ODI Series,bilateral_series,SuperSport Park,Centurion,South Africa,West Indies,722347,https://www.espncricinfo.com/ci/engine/match/722347.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""West Indies"" ""2015-01-28"" preview pitch conditions",,,,,,,,,,,,,,,,
749793,2015-01-29,Sri Lanka in New Zealand ODI Series,bilateral_series,Westpac Stadium,Wellington,Sri Lanka,New Zealand,749793,https://www.espncricinfo.com/ci/engine/match/749793.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""New Zealand"" ""2015-01-29"" preview pitch conditions",,,,,,,,,,,,,,,,
754759,2015-01-30,Carlton Mid One-Day International Tri-Series,multi_team_series,Western Australia Cricket Association Ground,Perth,India,England,754759,https://www.espncricinfo.com/ci/engine/match/754759.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""England"" ""2015-01-30"" preview pitch conditions",,,,,,,,,,,,,,,,
749795,2015-01-31,Pakistan in New Zealand ODI Series,bilateral_series,Westpac Stadium,Wellington,Pakistan,New Zealand,749795,https://www.espncricinfo.com/ci/engine/match/749795.html,,,unverified_candidate,"site:espncricinfo.com ""Pakistan"" ""New Zealand"" ""2015-01-31"" preview pitch conditions",,,,,,,,,,,,,,,,
