cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,espn_match_id_candidate,espn_legacy_match_url_candidate,espn_match_id_verified,espn_match_url_verified,espn_linkage_status,source_search_query,source_url,source_title,published_at_utc,accessed_at_utc,pre_match_verified,coder_id,coder_confidence,pitch_primary_category,batting_ease,pace_seam_support,spin_support,bounce_profile,two_paced_expected,dew_expected,short_paraphrased_note,exclusion_reason,sample_sequence
932855,2016-06-11,West Indies Tri-Nation Series,multi_team_series,"Warner Park, Basseterre",St Kitts,Australia,South Africa,932855,https://www.espncricinfo.com/ci/engine/match/932855.html,,,unverified_candidate,"site:espncricinfo.com ""Australia"" ""South Africa"" ""2016-06-11"" preview pitch conditions",https://www.cricket.com.au/news/3272889/history-points-to-runs-fest-in-st-kitts,History points to runs-fest in St Kitts,2016-06-11T16:56:58Z,2026-09-11T14:26:56Z,1,,,,,,,,,,,,1
914211,2015-12-31,Sri Lanka in New Zealand ODI Series,bilateral_series,Saxton Oval,Nelson,New Zealand,Sri Lanka,914211,https://www.espncricinfo.com/ci/engine/match/914211.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Sri Lanka"" ""2015-12-31"" preview pitch conditions",https://www.icc-cricket.com/news/new-zealand-eyes-winning-finish-to-brilliant-year,New Zealand eyes winning finish to brilliant year,2015-12-30T16:15:46Z,2026-09-12T14:37:47Z,1,,,,,,,,,,,,2
1122284,2018-02-16,India tour of South Africa,bilateral_series,SuperSport Park,Centurion,South Africa,India,1122284,https://www.espncricinfo.com/ci/engine/match/1122284.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""India"" ""2018-02-16"" preview pitch conditions",https://www.indiatoday.in/amp/sports/cricket/story/india-vs-south-africa-6th-odi-weather-forecast-pitch-report-supersport-park-centurion-1170756-2018-02-16,"India vs South Africa, 6th ODI: Weather forecast, pitch report at SuperSport Park, Centurion",2018-02-16T06:30:00Z,2026-09-12T14:37:47Z,1,,,,,,,,,,,,3
1020013,2017-01-30,Chappell-Hadlee Trophy,other_odi,Eden Park,Auckland,New Zealand,Australia,1020013,https://www.espncricinfo.com/ci/engine/match/1020013.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Australia"" ""2017-01-30"" preview pitch conditions",https://www.cricket.com.au/news/3287986,Starc returns to NZ happy hunting ground,2017-01-29T13:56:15Z,2026-09-11T14:26:56Z,1,,,,,,,,,,,,4
1419828,2024-03-15,Sri Lanka tour of Bangladesh,bilateral_series,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,Sri Lanka,1419828,https://www.espncricinfo.com/ci/engine/match/1419828.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""Sri Lanka"" ""2024-03-15"" preview pitch conditions",https://hindi.oneindia.com/news/sports/cricket/bangladesh-vs-sri-lanka-2nd-odi-pitch-and-weather-report-zahur-ahmed-chowdhury-stadium-chattogram-898387.html,"BAN vs SL, 2nd ODI: Bangladesh–Sri Lanka pitch and weather report",2024-03-14T05:52:01Z,2026-09-12T08:05:57Z,1,,,,,,,,,,,,5
1532482,2026-06-14,Australia tour of Bangladesh,bilateral_series,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,Australia,1532482,https://www.espncricinfo.com/ci/engine/match/1532482.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""Australia"" ""2026-06-14"" preview pitch conditions",https://www.thedailystar.net/sports/cricket/news/labuschagne-looking-salvage-pride-dead-rubber-4197761,Labuschagne looking to salvage pride in dead rubber,2026-06-13T12:59:00Z,2026-09-11T23:39:43Z,1,,,,,,,,,,,,6
1144517,2019-06-28,World Cup,world_cup,Riverside Ground,Chester-le-Street,Sri Lanka,South Africa,1144517,https://www.espncricinfo.com/ci/engine/match/1144517.html,,,unverified_candidate,"site:espncricinfo.com ""Sri Lanka"" ""South Africa"" ""2019-06-28"" preview pitch conditions",https://indianexpress.com/article/sports/cricket-world-cup/sri-lanka-vs-south-africa-weather-forecast-5804549/,"Sri Lanka vs South Africa, Chester-le-Street Weather Forecast Today and Pitch Report: Weather unlikely to hinder SL vs SA clash",2019-06-28T07:20:50Z,2026-09-12T08:35:08Z,1,,,,,,,,,,,,7
1479573,2025-11-30,South Africa tour of India,bilateral_series,"JSCA International Stadium Complex, Ranchi",Ranchi,India,South Africa,1479573,https://www.espncricinfo.com/ci/engine/match/1479573.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""South Africa"" ""2025-11-30"" preview pitch conditions",https://indianexpress.com/article/sports/cricket/india-vs-south-africa-ranchi-jsca-international-stadium-pitch-report-weather-forecast-match-update-10393073/,IND vs SA 1st ODI: What will the conditions be like at Ranchi for India vs South Africa?,2025-11-29T12:51:25Z,2026-09-12T00:04:35Z,1,,,,,,,,,,,,8
1277084,2022-01-23,India tour of South Africa,bilateral_series,"Newlands, Cape Town",Cape Town,South Africa,India,1277084,https://www.espncricinfo.com/ci/engine/match/1277084.html,,,unverified_candidate,"site:espncricinfo.com ""South Africa"" ""India"" ""2022-01-23"" preview pitch conditions",https://www.icc-cricket.com/news/south-africa-look-to-seal-series-whitewash-as-action-shifts-to-cape-town,South Africa look to seal series whitewash as action shifts to Cape Town,2022-01-22T08:05:42Z,2026-09-12T14:37:47Z,1,,,,,,,,,,,,9
1388406,2023-09-10,Asia Cup,continental_cup,"R Premadasa Stadium, Colombo",Colombo,India,Pakistan,1388406,https://www.espncricinfo.com/ci/engine/match/1388406.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Pakistan"" ""2023-09-10"" preview pitch conditions",https://www.mykhel.com/cricket/india-vs-pakistan-asia-cup-2023-colombo-pitch-report-weather-forecast-rain-232167.html,"India vs Pakistan, Asia Cup 2023: Colombo R. Premadasa Stadium Pitch Report and Weather Forecast",2023-09-09T05:17:45Z,2026-09-12T08:26:55Z,1,,,,,,,,,,,,10
