cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,review_status,exclusion_reason
754755,2015-01-23,Carlton Mid One-Day International Tri-Series,multi_team_series,Bellerive Oval,Hobart,England,Australia,"site:espncricinfo.com ""England"" ""Australia"" ""2015-01-23"" preview pitch conditions",set_aside,The available live coverage began at match time; no earlier match-specific pitch report was verified.
656443,2015-03-01,ICC Cricket World Cup,world_cup,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Pakistan,Zimbabwe,"site:espncricinfo.com ""Pakistan"" ""Zimbabwe"" ""2015-03-01"" preview pitch conditions",set_aside,Only an ESPN pitch report tied to target-match coverage was located; human or licensed verification is required.
656495,2015-03-29,ICC Cricket World Cup,world_cup,Melbourne Cricket Ground,Unknown,New Zealand,Australia,"site:espncricinfo.com ""New Zealand"" ""Australia"" ""2015-03-29"" preview pitch conditions",set_aside,No eligible non-ESPN pre-match article with a match-specific surface description was located.
860277,2015-07-26,Pakistan in Sri Lanka ODI Series,bilateral_series,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,Pakistan,"site:espncricinfo.com ""Sri Lanka"" ""Pakistan"" ""2015-07-26"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
894289,2015-08-04,New Zealand in Zimbabwe ODI Series,bilateral_series,Harare Sports Club,Unknown,Zimbabwe,New Zealand,"site:espncricinfo.com ""Zimbabwe"" ""New Zealand"" ""2015-08-04"" preview pitch conditions",set_aside,Located surface descriptions were post-match and therefore ineligible.
911049,2015-11-16,ICC World Cricket League Championship,qualification_pathway,ICC Academy,Dubai,Hong Kong,United Arab Emirates,"site:espncricinfo.com ""Hong Kong"" ""United Arab Emirates"" ""2015-11-16"" preview pitch conditions",set_aside,Located ICC material did not provide a verifiable match-specific pre-match pitch analysis.
902647,2015-11-20,Pakistan v England ODI Series,other_odi,Dubai International Cricket Stadium,Unknown,England,Pakistan,"site:espncricinfo.com ""England"" ""Pakistan"" ""2015-11-20"" preview pitch conditions",set_aside,The official pre-match article did not discuss the surface; located betting content was ineligible.
914233,2016-02-06,Chappell-Hadlee Trophy,other_odi,Westpac Stadium,Wellington,New Zealand,Australia,"site:espncricinfo.com ""New Zealand"" ""Australia"" ""2016-02-06"" preview pitch conditions",set_aside,Only an ESPN pre-match surface description was located; human or licensed verification is required.
932853,2016-06-07,West Indies Tri-Nation Series,multi_team_series,Providence Stadium,Guyana,South Africa,Australia,"site:espncricinfo.com ""South Africa"" ""Australia"" ""2016-06-07"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
997993,2016-08-14,ICC World Cricket League Championship,qualification_pathway,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,United Arab Emirates,"site:espncricinfo.com ""Scotland"" ""United Arab Emirates"" ""2016-08-14"" preview pitch conditions",set_aside,Only generic venue descriptions were located; none was specific to this match.
997995,2016-08-16,ICC World Cricket League Championship,qualification_pathway,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,United Arab Emirates,Scotland,"site:espncricinfo.com ""United Arab Emirates"" ""Scotland"" ""2016-08-16"" preview pitch conditions",set_aside,No match-specific pre-match surface report with a verifiable publication timestamp was located.
936131,2016-09-25,Unknown,other_odi,Willowmoore Park,Benoni,South Africa,Ireland,"site:espncricinfo.com ""South Africa"" ""Ireland"" ""2016-09-25"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
