match_id,source_json,match_date,year,event_name,venue,batting_team,opponent,innings_number,extracted_pp_runs,audited_pp_runs,extracted_pp_wickets,audited_pp_wickets,extracted_pp_legal_balls,audited_pp_legal_balls,extracted_pp_boundary_balls,audited_pp_boundary_balls,extracted_pp_boundary_pct,audited_pp_boundary_pct,extracted_pp_dot_balls,audited_pp_dot_balls,extracted_pp_dot_ball_pct,audited_pp_dot_ball_pct,extracted_toss_winner,audited_toss_winner,extracted_toss_decision,audited_toss_decision,extracted_batting_team_won,audited_batting_team_won,scorecard_url,auditor_id,audit_date,discrepancy_found,discrepancy_note
903595,data/raw/cricsheet/903595.json,2015-10-14,2015,South Africa in India ODI Series,Holkar Cricket Stadium,India,South Africa,1,44,,1,,60,,8,,13.333333,,43,,71.666667,,India,,bat,,1,,,,,,
903595,data/raw/cricsheet/903595.json,2015-10-14,2015,South Africa in India ODI Series,Holkar Cricket Stadium,South Africa,India,2,56,,2,,60,,9,,15.0,,34,,56.666667,,India,,bat,,0,,,,,,
997995,data/raw/cricsheet/997995.json,2016-08-16,2016,ICC World Cricket League Championship,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,Scotland,1,60,,2,,60,,9,,15.0,,36,,60.0,,United Arab Emirates,,bat,,0,,,,,,
997995,data/raw/cricsheet/997995.json,2016-08-16,2016,ICC World Cricket League Championship,"Grange Cricket Club Ground, Raeburn Place",Scotland,United Arab Emirates,2,45,,2,,60,,8,,13.333333,,44,,73.333333,,United Arab Emirates,,bat,,1,,,,,,
1120289,data/raw/cricsheet/1120289.json,2017-10-20,2017,Pakistan tour of United Arab Emirates,Sharjah Cricket Stadium,Sri Lanka,Pakistan,1,58,,2,,60,,7,,11.666667,,35,,58.333333,,Sri Lanka,,bat,,0,,,,,,
1120289,data/raw/cricsheet/1120289.json,2017-10-20,2017,Pakistan tour of United Arab Emirates,Sharjah Cricket Stadium,Pakistan,Sri Lanka,2,40,,2,,60,,4,,6.666667,,42,,70.0,,Sri Lanka,,bat,,1,,,,,,
1072314,data/raw/cricsheet/1072314.json,2018-01-28,2018,England tour of Australia and New Zealand,Perth Stadium,England,Australia,1,66,,0,,60,,10,,16.666667,,35,,58.333333,,Australia,,field,,1,,,,,,
1072314,data/raw/cricsheet/1072314.json,2018-01-28,2018,England tour of Australia and New Zealand,Perth Stadium,Australia,England,2,63,,1,,60,,8,,13.333333,,36,,60.0,,Australia,,field,,0,,,,,,
1196673,data/raw/cricsheet/1196673.json,2019-08-18,2019,ICC Men's Cricket World Cup League 2,Mannofield Park,Scotland,Oman,1,27,,2,,60,,4,,6.666667,,49,,81.666667,,Oman,,field,,1,,,,,,
1196673,data/raw/cricsheet/1196673.json,2019-08-18,2019,ICC Men's Cricket World Cup League 2,Mannofield Park,Oman,Scotland,2,36,,1,,60,,3,,5.0,,41,,68.333333,,Oman,,field,,0,,,,,,
1215126,data/raw/cricsheet/1215126.json,2020-02-11,2020,ICC Men's Cricket World Cup League 2,Tribhuvan University International Cricket Ground,Oman,United States of America,1,26,,1,,60,,4,,6.666667,,50,,83.333333,,United States of America,,field,,1,,,,,,
1215126,data/raw/cricsheet/1215126.json,2020-02-11,2020,ICC Men's Cricket World Cup League 2,Tribhuvan University International Cricket Ground,United States of America,Oman,2,36,,2,,60,,5,,8.333333,,45,,75.0,,United States of America,,field,,0,,,,,,
1262755,data/raw/cricsheet/1262755.json,2021-07-18,2021,India tour of Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,India,1,55,,1,,60,,6,,10.0,,40,,66.666667,,Sri Lanka,,bat,,0,,,,,,
